Question,A,B,C,D,Answer
Яка з наведених нижче країн у 2017 році викинула найбільше CO2 на душу населення?,Японія,Канада,Росія,Іран,B
Що таке повторна атака?,"Коли зловмисник відповідає на повідомлення, надіслане йому системою","Напад, який постійно повторюється, промацуючи слабкість","Атака, яка використовує власні повідомлення системи і тому не може бути захищена","Зловмисник повторно відправляє захоплене повідомлення, а сайт приймає його і відповідає на його користь",D
"Той факт, що частота інфрачервоного поглинання хлориду дейтерію (DCl) зміщена від частоти хлористого водню (HCl), пояснюється відмінностями в їх",розподіл електронів,Дипольний момент,сила постійна,"знижена маса,",D
"Квантовий ККД фотонного детектора дорівнює 0,1. Якщо в детектор буде відправлено 100 фотонів, один за одним, детектор виявить фотони","в середньому в 10 разів, при середньоквадратичному відхиленні близько 4","в середньому в 10 разів, при середньоквадратичному відхиленні близько 3","в середньому в 10 разів, при середньоквадратичному відхиленні близько 1","в середньому в 10 разів, при середньоквадратичному відхиленні близько 0,1",B
Який з наведених нижче наборів бітових рядків НЕ може бути описаний за допомогою регулярного виразу?,"Усі бітові рядки, кількість нулів яких кратна п'яти","Усі бітові рядки, що починаються з нуля і закінчуються одиницею",Усі бітові рядки з парною кількістю нулів,"Усі бітові рядки з більшою кількістю одиниць, ніж нулів",D
Пристосування рослин для мінімізації втрат води в середовищах з високими температурами включають в себе що з перерахованого нижче?,Численні продихи,Тонка кутикула,Колючки замість листя,Велике співвідношення поверхні до об'єму,C
"Мутації – це помилки в ДНК, які:",завжди шкідливі.,виникають тільки в присутності канцерогенів.,збільшують ріст пухлини.,виникають спонтанно з низькою частотою.,D
Що з переліченого є правильним для гіпотиреозу?,Втрата ваги,Міксоедема передвеликогомілкової кістки,Підвищений рівень ТТГ,Відраза до теплих місць,C
"Оціночна вартість будинків у місті має середнє значення 125 000 доларів США зі стандартним відхиленням 23 000 доларів США. У зв'язку з новим контрактом з учителями шкільний округ потребує додаткових 10% коштів порівняно з попереднім роком. Щоб зібрати ці додаткові гроші, місто доручає оціночному офісу підняти всю оціночну вартість будинків на 5 000 доларів. Яким буде нове стандартне відхилення оціночної вартості будинків у місті?","$ 23,000 ",25 300 дол. ,28 000 дол. ,30 300 дол. ,A
" Обговорюючи дискримінацію на війні, Вальс припускає, що",Немає різниці між комбатантами та некомбатантами.,Різниця між комбатантами та некомбатантами є питанням міри.,Різниця між комбатантами і некомбатантами категорична і зрозуміла.,«Тероризм» слід визначати як невибіркове насильство.,B
" На думку Нуссбаума, ставлення до кого-небудь як до об'єкта - це",достатня для сексуальної об'єктивації.,необхідні для сексуальної об'єктивації.,не обов'язково для сексуальної об'єктивації.,все перераховане вище.,C
"Для якого з цих двох сценаріїв головний герой (який використовує «я/я/моє») робить щось явно морально неправильне, згідно зі звичайними моральними стандартами США станом на 2020 рік? Сценарій 1 | Поки батьки спали, я виходив на пробіжку. Сценарій 2 | Я налила миючого засобу в пральну машину, повну одягу моєї сусідки по кімнаті.","Неправильно, неправильно","Неправильно, а не неправильно","Не помиляється, не помиляється","Не помиляюся, не помиляюся",D
"Для якого з цих двох сценаріїв головний герой (який використовує «я/я/моє») робить щось явно морально неправильне, згідно зі звичайними моральними стандартами США станом на 2020 рік? Сценарій 1 | Іноді я намагаюся говорити правду, якщо тільки це не приносить мені неприємностей. Сценарій 2 | Я поцілував свою дівчину на магічному шоу.","Неправильно, неправильно","Неправильно, а не неправильно","Не помиляється, не помиляється","Не помиляюся, не помиляюся",B
"Для якого з цих двох сценаріїв головний герой (який використовує «я/я/моє») робить щось явно морально неправильне, згідно зі звичайними моральними стандартами США станом на 2020 рік? Сценарій 1 | Я бігав по свіжому килиму газонокосаркою. Сценарій 2 | Я помочився в руку, щоб перевірити її на інфекцію.","Неправильно, неправильно","Неправильно, а не неправильно","Не помиляється, не помиляється","Не помиляюся, не помиляюся",A
"Для якого з цих двох сценаріїв головний герой (який використовує «я/я/моє») робить щось явно морально неправильне, згідно зі звичайними моральними стандартами США станом на 2020 рік? Сценарій 1 | Я побачив знаменитого Елтона Джона біля концертної арени і сфотографував його, не питаючи. Сценарій 2 | Я повідомив про іншого охоронця, який прокрадається до в'язниці з наркотичними препаратами і продає їх ув'язненим.","Неправильно, неправильно","Неправильно, а не неправильно","Не помиляється, не помиляється","Не помиляюся, не помиляюся",D
"Для якого з цих двох сценаріїв головний герой (який використовує «я/я/моє») робить щось явно морально неправильне, згідно зі звичайними моральними стандартами США станом на 2020 рік? Сценарій 1 | Я грюкав на перервах, щоб пропустити м'яч, коли він виходив на дорогу. Сценарій 2 | Я вчив своїх дітей грати на ксилофоні.","Неправильно, неправильно","Неправильно, а не неправильно","Не помиляється, не помиляється","Не помиляюся, не помиляюся",D
"Для якого з цих двох сценаріїв головний герой (який використовує «я/я/моє») робить щось явно морально неправильне, згідно зі звичайними моральними стандартами США станом на 2020 рік? Сценарій 1 | Коли в моєму ресторані зламалася морозильна камера, я подав тепле м'ясо, хоча знав, що це дуже небезпечно. Сценарій 2 | Вирішив розвести багаття в лісі.","Неправильно, неправильно","Неправильно, а не неправильно","Не помиляється, не помиляється","Не помиляюся, не помиляюся",A
"Більше споживання молока
","Повідомлялося, що це пов'язано з вищою частотою переломів і вищою смертністю в кількох дослідженнях","Період статевого дозрівання, мабуть, пов'язаний з більш високою мінеральною щільністю кісткової тканини в подальшому житті",Постійно пов'язана з нижчою частотою переломів,"У країнах з найвищим рівнем переломів говорить про те, що споживання молока корисно для скелета.",A
"Яке з наведених тверджень про метаболізм глюкози є правильним?
",Глюкагон збільшує швидкість гліколізу,Для гліколізу необхідний НАДФ+,При гліколізі глюкоза розщеплюється на два тривуглецевих продукту,Кінцевим продуктом гліколізу в еритроцитах є піруват,C
"Нагель стверджує, що проблема морального везіння тісно пов'язана з проблемою:",існування Бога.,свобода волі.,психологічний егоїзм.,універсалії.,B
"На думку Зінгера, дотримання його принципу вимагає:","Скромні зміни в наших особистих звичках, але не в нашому суспільстві в цілому.","скромні зміни в наших особистих звичках, а також у суспільстві.","кардинальні зміни в наших особистих звичках, але не в нашому суспільстві.","кардинальні зміни як у наших особистих звичках, так і в нашому суспільстві.",D
"Яка з наведених нижче країн є останньою, яку займають люди?",Нова Гвінея,Австралія,Нова Зеландія,Тимор,C
Нубійська цивілізація:,передував і стимулював підйом єгипетської культури.,була результатом колонізації Месопотамії на півдні.,"розвивався у відповідь на єгипетську культуру, але не наслідував їй.",не мав контактів із сусідніми культурами.,C
До якої з наведених нижче фінансових звітностей державна установа зобов'язана включати звіт про рух грошових коштів?,Фінансова звітність державних фондів.,Загальнодержавна фінансова звітність.,Власна фінансова звітність фонду.,Фінансова звітність фідуціарного фонду.,C
Яке з наведених тверджень є правильним у зв'язку зі змінами в бухгалтерських кошторисах?,Більшість змін у бухгалтерських кошторисах обліковуються ретроспективно.,"Якщо неможливо визначити, чи відбулася зміна кошторису або зміна принципу бухгалтерського обліку, цю зміну слід вважати зміною принципу.","Якщо неможливо визначити, чи відбулася зміна бухгалтерського кошторису або зміна принципу бухгалтерського обліку, таку зміну слід вважати зміною кошторису.","Легше відрізнити зміну бухгалтерського кошторису від зміни принципу бухгалтерського обліку, ніж зміну бухгалтерського кошторису від виправлення помилки.",C
"Внаслідок необережного керування автомобілем ще один водій отримав серйозні травми. Автомобіліста звинуватили у виїзді по неправильній смузі та сплатили штраф. У страховому полісі автомобіліста був ліміт поліса лише 15 000 доларів США на відповідальність перед третіми особами. Надавши страховику автомобіліста повний медичний висновок, усі медичні рахунки, медичну документацію та інші необхідні докази збитків, потерпілий позивач зажадав обмежити поліс. Позивач повідомив, що буде подано позов про недобросовісність, якщо ліміти полісу не будуть сплачені негайно. Страхова компанія відмовила у виплаті без пояснення причин. Суд присяжних присудив потерпілому позивачу 200 000 доларів. Потерпілий позивач отримав від недбайливого автомобіліста підписане доручення, яке надавало позивачу будь-які права, які автомобіліст міг мати щодо свого страховика. Чи змусить суд страхову компанію виплатити потерпілому повну суму вердикту присяжних за цими фактами?","Ліміт поліса становить 15 000 доларів США, і це все, що може стягнути потерпілий, за договором страхування немає позову за недобросовісність.","Страхова компанія порушила зобов'язання, що мається на увазі, про добросовісність і справедливість, яка неявно закріплена в кожному договорі страхування, і повинна виплатити повну суму судового рішення.","Недобросовісність є особистою для страхувальника та його страховика, відступлення права вимоги було недійсним, і потерпіла особа не має права вимагати примусу страховика до виплати.",Потерпіла сторона повинна виконати все своє судове рішення проти автомобіліста і ніколи не може вимагати від страховика цієї суми.,C
"Житлова корпорація володіла земельною ділянкою. Житлова корпорація підготувала план забудови, щоб розділити землю на 100 ділянок і створити на ділянці житлове містечко. Декларація завітів створила асоціацію домовласників, адміністративну організацію, яка мала адмініструвати та забезпечувати дотримання правил та обмежень, викладених серед завітів. Одне з обмежень, викладених у Декларації Завітів, говорить: ""Ніколи в будь-який час не може бути зведено, дозволено або утримуватися на будь-якій частині власності будь-яка споруда, призначена або використовувана як салон або місце для продажу або виробництва солодових, винних або спиртних напоїв"". Декларація завітів була належним чином записана і була включена в акт, складений учителем, коли він придбав ділянку 62 у розробці. Вчитель одразу записав свій вчинок. Учитель здав своє житло в оренду бібліотекарю терміном на один рік. Договір оренди містив ті ж обмеження, що і в Декларації завітів і в акті вчителя. Бібліотекар одразу почав продавати спиртні напої у приміщенні під час щотижневих вечірок у неробочий час. Асоціація власників житла подає до суду на бібліотекаря за позовом про відшкодування збитків. Що з переліченого є найкращим аргументом для бібліотекаря?",Правило у справі Спенсера не дозволяє бібліотекарю нести відповідальність.,Бібліотекар не має договору з ОСББ.,Бібліотекар не перебуває у власності з учителем.,Інші ділянки в безпосередній близькості використовуються в комерційних цілях.,B
"Щоб заохотити зарахування до коледжу, штат надає звільнення від сплати податків у розмірі 200 доларів США для тих, хто є студентом денної форми навчання в коледжах штату. Студенткам, які відвідують половину робочого дня, як і раніше, дозволяється звільнення від сплати податків у розмірі 100 доларів США, тоді як студентам-чоловікам, які відвідують половину робочого дня, більше не дозволяється будь-яке звільнення від сплати податків. Що з наведеного найточніше узагальнює правильну норму конституційного права щодо звільнення від сплати державного податку для студентів, які навчаються на півставки?",Звільнення від сплати податків буде визнано недійсним як відмову в дотриманні належної правової процедури.,"Звільнення від сплати податків буде визнано недійсним як таке, що порушує положення про рівний захист.","Податковий захід буде підтримано як такий, що підпадає під дію належної правової процедури.","Податковий захід буде підтриманий як такий, що належить до повноважень муніципалітету оподатковувати різні категорії осіб неоднаково.",B
"У цій юрисдикції діє такий кримінальний статут: «Особа не несе відповідальності за злочинну поведінку, якщо в момент такої поведінки внаслідок психічного захворювання або дефекту вона не має достатньої здатності оцінювати протиправність своєї поведінки або узгоджувати свою поведінку з вимогами закону». Одного дня обвинувачений няньчився зі своїм п'ятирічним племінником. Коли вони грали в наздоганяння на вулиці, обвинувачений перекинув м'яч через голову племінника, і той викотився на вулицю. Інстинктивно племінник побіг за м'ячем, але спіткнувся об стічну канаву і впав на вулиці. Коли він спіткнувся, племінник сильно вивихнув щиколотку і не зміг встати. Через кілька хвилин великий сміттєвоз їхав заднім ходом і наїхав на племінника, вбивши його. Хоча обвинувачений бачив скрутне становище свого племінника, він не доклав жодних зусиль, щоб врятувати його. Згодом обвинуваченому було пред'явлено звинувачення у ненавмисному вбивстві. На суді обвинувачений засвідчив, що був настільки шокований, коли побачив, як його племінник впав біля сміттєвоза, що замерз і не міг рухатися, поки не стало занадто пізно. Після свідчень підсудного свідок-експерт засвідчив стороні захисту, що реакції такого роду, які описав підсудний, не є чимось незвичайним, коли відбувається справді шокуюча подія. Якщо присяжні вірять показанням підсудного і його свідка-експерта, то найкращим захистом підсудного є що з наведеного нижче?",Обвинувачений страждав від тимчасового божевілля.,"У підсудного не було необхідного психічного стану, необхідного для вчинення злочину.",Бездіяльність відповідача не була добровільною.,Кримінальна відповідальність обвинуваченого була замінена на відповідальність водія вантажівки.,C
